"mun","uf","regiao","porc_bf","dilma.vs.2014","pop.2011","ordem_pop"
"BORA","SP","Sudeste",16.73640,37.42020,806,50000
"SERRA DA SAUDADE","MG","Sudeste",10.72660,33.37500,811,50000
"ANHANGUERA","GO","Centro-Oeste",11.71430,46.37310,1030,50000
"OLIVEIRA DE FATIMA","TO","Norte",31.66140,47.45900,1044,50000
"ARAGUAINHA","MT","Centro-Oeste",26.87340,54.96790,1077,50000
"NOVA CASTILHO","SP","Sudeste",4.47370,25.42370,1136,50000
"CEDRO DO ABAETE","MG","Sudeste",26.51690,27.77180,1204,50000
"ANDRE DA ROCHA","RS","Sul",14.58820,31.17650,1224,50000
"URU","SP","Sudeste",21.00460,24.28840,1240,50000
"PARARI","PB","Nordeste",62.43780,66.60610,1243,50000
"MIGUEL LEAO","PI","Nordeste",68.08510,67.33070,1245,50000
"LAGOA SANTA","GO","Centro-Oeste",24.07410,32.52660,1280,50000
"CHAPADA DE AREIA","TO","Norte",36.34360,47.65290,1340,50000
"GRUPIARA","MG","Sudeste",14.85150,35.89070,1373,50000
"SERRA NOVA DOURADA","MT","Centro-Oeste",37.81320,33.33330,1393,50000
"JARDIM OLINDA","PR","Sul",24.26300,61.02180,1401,50000
"CACHOEIRA DE GOIAS","GO","Centro-Oeste",24.89880,43.35900,1411,50000
"NOVA ALIANCA DO IVAI","PR","Sul",14.05900,39.84440,1439,50000
"DORESOPOLIS","MG","Sudeste",30.16190,41.03620,1447,50000
"SANTIAGO DO SUL","SC","Sul",8.58470,48.79730,1448,50000
"SAO FELIX DO TOCANTINS","TO","Norte",61.44930,66.91810,1450,50000
"SANTA SALETE","SP","Sudeste",6.93070,31.00330,1453,50000
"UNIAO DA SERRA","RS","Sul",2.40170,39.36260,1455,50000
"ENGENHO VELHO","RS","Sul",32.79450,55.93220,1481,50000
"LAJEADO GRANDE","SC","Sul",15.15840,50.67300,1484,50000
"COQUEIRO BAIXO","RS","Sul",2.43450,39.70320,1523,50000
"MONTAURI","RS","Sul",1.49570,39.50000,1532,50000
"PAIVA","MG","Sudeste",21.37400,45.65400,1554,50000
"TRABIJU","SP","Sudeste",6.25000,21.94300,1557,50000
"TUPANCI DO SUL","RS","Sul",22.42990,42.17690,1562,50000
